qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
1,reading_endofcourse_2015,reading-endofcourse-2015.js,multiple-choice,"In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-",7,1,0.8904097,0.8063376545906067,0:0.0157|1:0.8904|2:0.0156|3:0.0157|4:0.0157|5:0.0157|6:0.0156|7:0.0156
19,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,The author puts numbers before some sentences in the flier to--,5,2,0.46398813,1.7399741411209106,0:0.0209|1:0.4109|2:0.4640|3:0.0208|4:0.0209|5:0.0209|6:0.0208|7:0.0209
20,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Read this sentence and dictionary entry. In the winter, grocery stores charge too much for strawberries. charge (chärj) v. 1. To give orders. 2. To set as a price. 3. To fill up completely. 4. To rush forward.",20,1,0.95829725,0.3671201467514038,0:0.0060|1:0.9583|2:0.0060|3:0.0060|4:0.0060|5:0.0060|6:0.0060|7:0.0060
21,reading_grade3_2015,reading-grade3-2015.js,multiple-select,Guide words: camera - cause Which two words would appear on the same page as these guide words?,11,4,0.92705065,0.5816290378570557,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.9271|5:0.0104|6:0.0104|7:0.0104
22,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,The title tells readers that a character in the story will most likely--,6,6,0.8748741,0.8951906561851501,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
23,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Paragraph 5 is important to the story because it--,3,2,0.7810376,1.3729734420776367,0:0.0313|1:0.0313|2:0.7810|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
24,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"After Evan and Mark find the map, they both feel--",5,5,0.854128,1.008927345275879,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.8541|6:0.0209|7:0.0208
25,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Where does this story begin and end?,3,2,0.53136915,1.9371427297592163,0:0.0313|1:0.0313|2:0.5314|3:0.0313|4:0.2810|5:0.0313|6:0.0313|7:0.0313
26,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on the story, where does the map first lead the boys?",6,6,0.874914,0.8949663639068604,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
27,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Which question is answered at the end of the story?,4,5,0.50757134,1.824449062347412,0:0.0250|1:0.0250|2:0.3424|3:0.0250|4:0.0250|5:0.5076|6:0.0250|7:0.0250
28,reading_grade3_2015,reading-grade3-2015.js,drag-drop,Place these words in alphabetical order.,4,4,0.42506948,1.8485791683197021,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.4251|5:0.0251|6:0.0251|7:0.4247
29,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on paragraph 4, the reader can tell that-",4,5,0.8248635,1.1609915494918823,0:0.0250|1:0.0251|2:0.0250|3:0.0250|4:0.0250|5:0.8249|6:0.0250|7:0.0250
30,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Paragraph 6 explains that one way ostriches keep themselves safe is by--,7,6,0.89052504,0.8056653738021851,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.8905|7:0.0156
31,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,What information can be learned by reading the chart at the end of the article?,6,1,0.7166245,1.408240556716919,0:0.0179|1:0.7166|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.1762|7:0.0179
32,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on the article, one way the male leader is like the females in the herd is that he helps--",10,3,0.72843015,1.2412335872650146,0:0.0114|1:0.0114|2:0.0114|3:0.7284|4:0.0114|5:0.0114|6:0.2033|7:0.0114
33,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,The feathers of an ostrich help the bird--,4,7,0.8248516,1.1610512733459473,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0251|5:0.0250|6:0.0250|7:0.8249
34,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on the article, what can the reader most likely tell about ostriches?",6,1,0.68092436,1.4744398593902588,0:0.0179|1:0.6809|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.2118|7:0.0179
35,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"After looking at the title, the reader knows that this poem is about--",5,1,0.8540182,1.0095150470733643,0:0.0209|1:0.8540|2:0.0208|3:0.0208|4:0.0209|5:0.0209|6:0.0209|7:0.0209
36,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,What does pause mean in line 13?,3,4,0.42722574,1.9921311140060425,0:0.0313|1:0.0313|2:0.0313|3:0.3852|4:0.4272|5:0.0313|6:0.0313|7:0.0313
37,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"In lines 17-20, the speaker can best be described as--",4,7,0.8248771,1.160922884941101,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.8249
38,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Where is the first place the speaker looks for the shoe?,5,6,0.6721099,1.5504989624023438,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.6721|7:0.2028
39,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,"Based on the events in the poem, the shoe was most likely last worn--",7,1,0.8905419,0.8055664300918579,0:0.0156|1:0.8905|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
40,reading_grade3_2015,reading-grade3-2015.js,multiple-choice,Which question is answered in the poem?,3,5,0.7811177,1.3726019859313965,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7811|6:0.0313|7:0.0313
1,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,The photograph in the article helps the reader understand —,5,2,0.8538859,1.010223627090454,0:0.0209|1:0.0209|2:0.8539|3:0.0208|4:0.0208|5:0.0209|6:0.0209|7:0.0208
2,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,The cheetah's coat is most useful because it —,3,0,0.781015,1.3730785846710205,0:0.7810|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
3,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,One reason Kelly finishes in third place is because she —,6,6,0.8749418,0.8948104381561279,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
4,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Who is telling this story?,2,2,0.7082835,1.689880609512329,0:0.0417|1:0.0417|2:0.7083|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
5,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which sentence best states the theme of the story?,5,2,0.85411614,1.0089905261993408,0:0.0208|1:0.0208|2:0.8541|3:0.0208|4:0.0208|5:0.0208|6:0.0209|7:0.0208
6,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which sentence best states the main idea of paragraph 1?,6,2,0.874894,0.8950783014297485,0:0.0179|1:0.0179|2:0.8749|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
7,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which heading best belongs above paragraph 2?,4,0,0.56303203,1.7821402549743652,0:0.5630|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.2868|6:0.0250|7:0.0250
8,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which question is answered in paragraph 2?,3,5,0.7811611,1.372399926185608,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7812|6:0.0313|7:0.0313
9,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which word is an antonym for joined as used in paragraph 4?,5,0,0.8540515,1.0093376636505127,0:0.8541|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0208|7:0.0209
10,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,What does defend mean in paragraph 4?,3,3,0.78112364,1.3725738525390625,0:0.0313|1:0.0313|2:0.0313|3:0.7811|4:0.0313|5:0.0313|6:0.0313|7:0.0313
11,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,The author wrote this article most likely to —,4,0,0.8248527,1.161045789718628,0:0.8249|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
12,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which lines show the conflict in the poem?,4,7,0.6034467,1.7361223697662354,0:0.0250|1:0.0250|2:0.2465|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.6034
13,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,The resolution in the poem happens as soon as the speaker —,5,7,0.49072266,1.7324634790420532,0:0.0208|1:0.3842|2:0.0208|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.4907
14,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which word best describes the speaker throughout the poem?,6,7,0.8748778,0.895169734954834,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.8749
15,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which question is answered in paragraph 2?,3,5,0.7811615,1.3723983764648438,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7812|6:0.0313|7:0.0313
16,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,What is the main idea of paragraph 4?,3,3,0.78106683,1.3728379011154175,0:0.0313|1:0.0313|2:0.0313|3:0.7811|4:0.0313|5:0.0313|6:0.0313|7:0.0313
17,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Read this sentence from paragraph 5. Whole groups of sea otters may be seen floating together. Which word is a homophone for seen ?,14,7,0.9416225,0.4848567247390747,0:0.0083|1:0.0083|2:0.0083|3:0.0083|4:0.0083|5:0.0083|6:0.0083|7:0.9416
18,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,"Based on the article, the ocean is a perfect home for the sea otter because the —",7,1,0.89054614,0.8055423498153687,0:0.0156|1:0.8905|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
19,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,"Based on the article, sea otters can swim well mainly because their —",7,5,0.8905523,0.8055063486099243,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.8906|6:0.0156|7:0.0156
20,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,"Based on the article, a sea otter finds its favorite foods —",7,4,0.89044404,0.8061375021934509,0:0.0157|1:0.0157|2:0.0156|3:0.0156|4:0.8904|5:0.0157|6:0.0156|7:0.0156
21,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,One purpose of the sea otter's chest is to help the animal —,7,5,0.8904838,0.805905818939209,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0157|5:0.8905|6:0.0156|7:0.0157
22,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,The author uses headings in the article most likely to —,5,5,0.66454643,1.563558578491211,0:0.0209|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.6645|6:0.0209|7:0.2103
23,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,"Based on the article, what may happen if a sea otter rests far from seaweed?",9,0,0.9124217,0.6741974353790283,0:0.9124|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.0125|6:0.0125|7:0.0125
24,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Bonnie and Steve are proud in the beginning of the poem because they each —,5,5,0.8541089,1.0090291500091553,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.8541|6:0.0208|7:0.0209
25,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,"Based on the poem, how does Bonnie first find out Steve is selling cherry juice?",9,5,0.6036215,1.440307378768921,0:0.0125|1:0.0125|2:0.0125|3:0.0125|4:0.3213|5:0.6036|6:0.0125|7:0.0125
26,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which question is answered in the poem?,3,5,0.7811142,1.3726178407669067,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7811|6:0.0313|7:0.0313
27,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Which line from the poem is where the reader understands how the problem is solved?,6,1,0.8749233,0.8949145674705505,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
28,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,How is Bonnie different from Steve?,3,5,0.53127146,1.9370074272155762,0:0.0313|1:0.2812|2:0.0313|3:0.0313|4:0.0313|5:0.5313|6:0.0313|7:0.0313
29,reading_endofcourse_practice_2024,reading-grade3-practice-2024.js,multiple-choice,Bonnie and Steve end up sharing a stand because they —,5,5,0.85411304,1.009007453918457,0:0.0208|1:0.0208|2:0.0209|3:0.0208|4:0.0208|5:0.8541|6:0.0208|7:0.0208
1,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which question is answered in paragraph 5?,3,5,0.7811617,1.3723971843719482,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7812|6:0.0313|7:0.0313
2,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Based on paragraph 6, Ben's mother may best be described as--",7,6,0.890489,0.8058755397796631,0:0.0157|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.8905|7:0.0156
3,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,A student asks this question after reading the story. What activity to ben and Mark choose first? Which paragraph answers this question?,13,2,0.4980535,1.384713888168335,0:0.0089|1:0.0089|2:0.4981|3:0.0089|4:0.0089|5:0.4483|6:0.0089|7:0.0089
4,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Eli shows he wants to be Mark's friend by --,5,5,0.85410297,1.009061574935913,0:0.0209|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.8541|6:0.0208|7:0.0208
5,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Ben agrees to go to camp because he--,3,6,0.78117716,1.3723256587982178,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.7812|7:0.0313
6,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence best supports the idea that Ben is excited about summer vacation at the beginning of the story?,10,7,0.92034566,0.6245778203010559,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.0114|7:0.9203
7,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Once summer is over, the three boys will most likely--",4,4,0.59723663,1.7442809343338013,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.5972|5:0.0250|6:0.2527|7:0.0250
8,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Read this sentence from paragraph 2. Mud kept the houses cool from the soaring temperatures. Which word has the same meaning as soaring in this sentence?,13,7,0.93745464,0.5130544900894165,0:0.0089|1:0.0089|2:0.0089|3:0.0089|4:0.0089|5:0.0089|6:0.0089|7:0.9375
9,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Which question is answered in the section titled ""Clothing and Hair""?",6,3,0.5511919,1.6254754066467285,0:0.0179|1:0.0179|2:0.0179|3:0.5512|4:0.0179|5:0.3416|6:0.0179|7:0.0179
10,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,What is the main idea of paragraph 6?,3,3,0.7810729,1.372809648513794,0:0.0313|1:0.0313|2:0.0313|3:0.7811|4:0.0313|5:0.0313|6:0.0313|7:0.0313
11,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which of these best describes the roof of an ancient Egyptian home?,6,6,0.8749162,0.8949540853500366,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
12,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Information from the article shows that the ancient Egyptians were--,5,0,0.8539937,1.0096465349197388,0:0.8540|1:0.0209|2:0.0209|3:0.0209|4:0.0208|5:0.0209|6:0.0209|7:0.0208
13,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence about this article is a fact?,3,2,0.5432212,1.9262239933013916,0:0.0313|1:0.2690|2:0.5432|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
14,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,A student makes these notes about the article. Which of these belongs on the blank line?,7,4,0.8904864,0.8058902025222778,0:0.0156|1:0.0157|2:0.0156|3:0.0156|4:0.8905|5:0.0157|6:0.0156|7:0.0156
15,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence is most likely true about the ancient Egyptians?,5,3,0.8539622,1.0098155736923218,0:0.0209|1:0.0209|2:0.0209|3:0.8540|4:0.0209|5:0.0209|6:0.0209|7:0.0209
16,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Read this sentence from the flier. Teddy bears, posters, games, stickers, and pencils are just some of the prizes for the luck y winners. In which word does - y mean the same as it does in luck y ?",15,2,0.9452486,0.45995423197746277,0:0.0078|1:0.0078|2:0.9452|3:0.0078|4:0.0078|5:0.0078|6:0.0078|7:0.0078
17,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Complete this list of school fair activities.,5,0,0.8540938,1.0091103315353394,0:0.8541|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0208|7:0.0208
18,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Money earned during the fundraisers will be used to pay for--,5,5,0.8541058,1.009046196937561,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.0208|5:0.8541|6:0.0208|7:0.0209
19,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,The principal will sit in the dunking booth most likely because he wants to--,6,5,0.87496036,0.8947062492370605,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.8750|6:0.0179|7:0.0179
20,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,What is the main reason the author wrote the flier?,5,0,0.5315025,1.7126901149749756,0:0.5315|1:0.0208|2:0.3434|3:0.0209|4:0.0208|5:0.0209|6:0.0209|7:0.0208
21,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence about the flier is an opinion?,3,2,0.413753,1.9934437274932861,0:0.0313|1:0.0313|2:0.4138|3:0.0313|4:0.0313|5:0.0313|6:0.3987|7:0.0313
22,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Read this sentence. The factory will manufacture new tractors and other farm machines. In this sentence, the word manufacture means--",12,2,0.932625,0.5451956987380981,0:0.0096|1:0.0096|2:0.9326|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
23,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,In which sentence is the underlined word used correctly?,5,7,0.85406184,1.0092816352844238,0:0.0209|1:0.0208|2:0.0209|3:0.0209|4:0.0208|5:0.0208|6:0.0208|7:0.8541
24,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Select the meaning of rich as used in this sentence. I could barely finish my slice of that rich chocolate cake.,12,1,0.9326248,0.5451974868774414,0:0.0096|1:0.9326|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
25,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Read paragraph 7. ""You won again,"" Sidney muttered, and his head drooped. Which sentence tells why Sidney is acting this way?",11,6,0.92702615,0.5817884206771851,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.9270|7:0.0104
26,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Read these sentences from paragraph 18. ""No, no,"" argued Alligator. ""I was just yawning."" The author includes this information to show that Alligator is--",11,2,0.92697823,0.5820986032485962,0:0.0104|1:0.0104|2:0.9270|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.0104
27,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence about the story best shows that Max is careful?,6,2,0.87491775,0.894945502281189,0:0.0179|1:0.0179|2:0.8749|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
28,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Complete this web with the most appropriate option for the blank circle.,6,6,0.87488973,0.8951025009155273,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8749|7:0.0179
29,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which lesson does Sidney leam in the story?,4,6,0.8249544,1.1605329513549805,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.8250|7:0.0250
30,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which detail about the setting is most important to the story?,4,2,0.8249265,1.1606734991073608,0:0.0250|1:0.0250|2:0.8249|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
31,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"Based on lines 1-4 of the poem, which sentence is correct?",5,7,0.8540677,1.0092506408691406,0:0.0208|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0208|7:0.8541
32,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,The author includes lines 7 and 8 to--,3,3,0.41018823,1.9940342903137207,0:0.0313|1:0.0313|2:0.0313|3:0.4102|4:0.0313|5:0.0313|6:0.0313|7:0.4021
33,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which of these are the thieves trying to find?,3,6,0.78115904,1.3724098205566406,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.7812|7:0.0313
34,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,What is the speaker doing in the poem?,2,7,0.7082877,1.6898627281188965,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.7083
35,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,"In paragraph 3, what does crushed mean?",3,0,0.7811137,1.3726204633712769,0:0.7811|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
36,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which choice best completes this cause-and-effect chart?,5,0,0.8540706,1.00923490524292,0:0.8541|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0208|6:0.0208|7:0.0208
37,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which sentence about the article is an opinion?,3,6,0.78098637,1.37321138381958,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.7810|7:0.0313
38,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Complete these notes.,2,1,0.70825285,1.6900053024291992,0:0.0417|1:0.7083|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
39,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,The main reason the author wrote this article is to--,5,0,0.8540562,1.0093116760253906,0:0.8541|1:0.0208|2:0.0209|3:0.0209|4:0.0208|5:0.0209|6:0.0208|7:0.0208
40,reading_grade4_2015,reading-grade4-2015.js,multiple-choice,Which two words are synonyms?,3,4,0.78122765,1.3720914125442505,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.7812|5:0.0313|6:0.0313|7:0.0313
1,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,The details in paragraphs 6-8 show--,3,3,0.52295005,1.944432258605957,0:0.0313|1:0.0313|2:0.0313|3:0.5230|4:0.0313|5:0.0313|6:0.0313|7:0.2895
2,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Paragraphs 11-14 show that Callie's mother--,4,7,0.82465124,1.1620606184005737,0:0.0250|1:0.0250|2:0.0250|3:0.0252|4:0.0250|5:0.0250|6:0.0251|7:0.8247
3,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Paragraph 15 is mostly about the way Callie--,4,4,0.824802,1.161301851272583,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.8248|5:0.0250|6:0.0250|7:0.0250
4,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Why does Mrs. Baker need Callie's help?,5,4,0.8541217,1.0089610815048218,0:0.0208|1:0.0208|2:0.0208|3:0.0208|4:0.8541|5:0.0208|6:0.0208|7:0.0208
5,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Which heading would be best for paragraph 2?,4,0,0.8248704,1.1609563827514648,0:0.8249|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
6,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Read this dictionary entry. support (sə-pôrt') v. 1. To give help. 2. To hold up. 3. To keep strong. 4. To provide for. Which meaning of support is used in paragraph 4?,15,4,0.9452647,0.4598428010940552,0:0.0078|1:0.0078|2:0.0078|3:0.0078|4:0.9453|5:0.0078|6:0.0078|7:0.0078
7,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,The author includes paragraphs 5 and 6 most likely to--,4,3,0.8247969,1.1613271236419678,0:0.0250|1:0.0250|2:0.0250|3:0.8248|4:0.0250|5:0.0251|6:0.0250|7:0.0250
8,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Which sentence about the Ice Hotel is an opinion?,4,6,0.8247708,1.1614582538604736,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0251|5:0.0250|6:0.8248|7:0.0250
9,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Which detail about the hotel most likely attracts visitors' attention?,6,4,0.87487745,0.8951717019081116,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.8749|5:0.0179|6:0.0179|7:0.0179
10,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Branch Rickey wanted Jackie to be part of the Brooklyn Dodgers because--,7,6,0.8905876,0.8053001761436462,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.8906|7:0.0156
11,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,The author wrote this article most likely to--,4,0,0.8248471,1.1610736846923828,0:0.8248|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
12,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,"Based on lines 1-4 of the poem, which sentence is correct?",5,7,0.8540694,1.0092411041259766,0:0.0208|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0208|7:0.8541
13,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,Lines 5-8 are important to the poem because they reveal--,4,7,0.82485074,1.1610558032989502,0:0.0250|1:0.0250|2:0.0251|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.8249
14,reading_grade4_practice_2024,reading-grade4-practice-2024.js,multiple-choice,The thieves are out at night because they are--,2,6,0.70826674,1.689948320388794,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.7083|7:0.0417
