qid,test_id,source_file,type,question_text,word_count,dominant_topic,dominant_topic_probability,topic_entropy_bits,topic_distribution
21,math_algebra2_2015,math-algebra2-2015.js,multiple-select,Identify all the points where the graph of h ( x ) = ( x + 1 ) ( x 2 + 8 x + 16 ) intersects the x-axis.,5,3,0.8539255,1.0100111961364746,0:0.0209|1:0.0209|2:0.0209|3:0.8539|4:0.0209|5:0.0209|6:0.0209|7:0.0209
22,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,The function f ( x ) = ( 1 - x ) 2 - 4 is decreasing throughout the interval —,4,7,0.8248937,1.1608388423919678,0:0.0250|1:0.0250|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.8249
23,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,Given: f ( x ) = 4 x 4 - 15 and g ( x ) = 2 x + 11 What is the value of g ( f ( x ) ) ?,2,1,0.7078791,1.6915321350097656,0:0.0417|1:0.7079|2:0.0417|3:0.0417|4:0.0417|5:0.0418|6:0.0418|7:0.0417
24,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,A normally distributed data set has a mean of 0 and a standard deviation of 0.5. Which is closest to the percent of values between -1 and 1?,10,0,0.9204164,0.6241294741630554,0:0.9204|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.0114|7:0.0114
25,math_algebra2_2015,math-algebra2-2015.js,point-select,Point A lies on the graph of f ( x ) = 1 2 x + 2 . Locate the image of Point A that lies on the graph of f - 1 ( x ) .,8,0,0.9026876,0.7336074709892273,0:0.9027|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.0139
26,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,Which equation best represents this graph?,4,1,0.82484436,1.161087989807129,0:0.0250|1:0.8248|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
27,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"If f ( x ) = x 2 + 3 x and g ( x ) = 2 x 2 , what is g ( f ( - 1 ) ) ?",0,0,0.125,3.0,0:0.1250|1:0.1250|2:0.1250|3:0.1250|4:0.1250|5:0.1250|6:0.1250|7:0.1250
28,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"The volume of a cone (V) varies jointly with its height (h) and the square of its radius (r). If k is the constant of proportionality, which of the following equations represents the correct relationship between volume, radius, and height?",17,1,0.9513267,0.41737669706344604,0:0.0070|1:0.9513|2:0.0070|3:0.0069|4:0.0070|5:0.0070|6:0.0069|7:0.0070
29,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,What is the equation of the horizontal asymptote of the graph of the following equation? f ( x ) = 4 ( x + 1 ) - 10,6,2,0.5738948,1.608121395111084,0:0.0179|1:0.3189|2:0.5739|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
30,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"As x approaches negative infinity, which of the following describes the end behavior of f ( x ) = - x 7 + b x 3 + c ?",7,1,0.8905843,0.8053199052810669,0:0.0156|1:0.8906|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
31,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"Jessica paid $23,000 for her car and kept a record of its value. Assuming the relationship is exponential, which equation best models the curve of best fit for the data?",16,7,0.9484569,0.4376164972782135,0:0.0074|1:0.0074|2:0.0074|3:0.0074|4:0.0074|5:0.0074|6:0.0074|7:0.9485
32,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,What is the sum of the infinite geometric series 9 - 6 + 4 - 8 3 + ... ?,4,1,0.8249256,1.1606781482696533,0:0.0250|1:0.8249|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0250|7:0.0250
33,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,Which number is a zero of f ( x ) = 7 x 2 + 16 x - 48 ?,2,2,0.70798296,1.691108226776123,0:0.0417|1:0.0417|2:0.7080|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
34,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,Which function is the inverse of g ( x ) = x 3 + 11 ?,2,1,0.7081257,1.6905248165130615,0:0.0417|1:0.7081|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0418
35,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,What is the domain of g ( x ) = log ( x - 1 ) ?,2,6,0.7080827,1.6907002925872803,0:0.0417|1:0.0418|2:0.0417|3:0.0417|4:0.0417|5:0.0417|6:0.7081|7:0.0417
36,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"A scientist obtained a sample that contained 80 grams of radioactive Barium-122 that decays exponentially over time. The amount of Barium-122 that remained in the sample at observed times is shown in the table. If the radioactive decay continues at the same rate, which is closest to the amount of the sample of Barium-122 remaining at 5 minutes?",28,1,0.96981066,0.28009265661239624,0:0.0043|1:0.9698|2:0.0043|3:0.0043|4:0.0043|5:0.0043|6:0.0043|7:0.0043
37,math_algebra2_2015,math-algebra2-2015.js,multiple-choice,"What is the sum of the first 20 terms of the arithmetic sequence shown? 1 3 , 2 3 , 1 , 4 3 , 5 3 , ...",6,1,0.8748668,0.8952313661575317,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
38,math_algebra2_2015,math-algebra2-2015.js,free-response,What is the number of possible permutations of 8 objects taken 3 at a time?,6,1,0.8748526,0.8953104615211487,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
1,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which expression is equivalent to the one shown if the denominators do not equal zero? 2 x x 2 - 49 - 3 ( x - 4 ) ( x - 7 ),7,2,0.8904743,0.8059608936309814,0:0.0156|1:0.0157|2:0.8905|3:0.0157|4:0.0156|5:0.0157|6:0.0156|7:0.0156
2,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which expression is equivalent to the one shown if no denominators equal zero? - 13 + d 42 d 3 13 - d 6 d 9,7,2,0.89047974,0.8059296607971191,0:0.0156|1:0.0157|2:0.8905|3:0.0157|4:0.0156|5:0.0157|6:0.0156|7:0.0156
3,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which expression is equivalent to 576 n 8 p 27 3 ?,2,3,0.7080312,1.690910816192627,0:0.0417|1:0.0417|2:0.0418|3:0.7080|4:0.0417|5:0.0418|6:0.0417|7:0.0417
4,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which is the factored form of 125 m 3 - 343,2,2,0.7083027,1.689801812171936,0:0.0417|1:0.0417|2:0.7083|3:0.0417|4:0.0417|5:0.0417|6:0.0417|7:0.0417
5,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,What are the y-coordinates for the solutions to this system of equations? x 2 + 6 x + 3 y + 6 = 0 x + y + 20 = 0,4,1,0.82491595,1.1607270240783691,0:0.0250|1:0.8249|2:0.0250|3:0.0250|4:0.0250|5:0.0250|6:0.0251|7:0.0250
6,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,What is the real solution set of -- x x - 4 - 4 3 = 4 x - 4,3,6,0.7810071,1.373115062713623,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.7810|7:0.0313
7,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,What is the solution set for this equation? 3 2 x - 4 + 6 = 3,3,1,0.7808784,1.3737125396728516,0:0.0313|1:0.7809|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
8,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which function is best represented by this graph?,4,7,0.8246655,1.1619899272918701,0:0.0251|1:0.0251|2:0.0250|3:0.0250|4:0.0251|5:0.0250|6:0.0250|7:0.8247
9,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which graph could represent a function g(x) = log(x) + c where c < 0?,5,5,0.85400647,1.009577751159668,0:0.0209|1:0.0209|2:0.0208|3:0.0209|4:0.0208|5:0.8540|6:0.0208|7:0.0209
10,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,"An experiment is conducted on a container of gas that is kept at a constant temperature. • When the pressure on the gas is 30 pounds per square inch, the volume is 120 cubic inches. • When the pressure on the gas is 40 pounds per square inch, the volume is 90 cubic inches. • Let p represent the pressure on the gas. • Let v represent the volume of the gas. Which statement is true about this relationship?",36,7,0.97630936,0.22819681465625763,0:0.0034|1:0.0034|2:0.0034|3:0.0034|4:0.0034|5:0.0034|6:0.0034|7:0.9763
11,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,A relation is shown in this table. Which statement about this relation is true?,6,6,0.87477607,0.8957409858703613,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.8748|7:0.0179
12,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,The graph of g ( x ) = x + 1 x has —,1,1,0.5620004,2.2185001373291016,0:0.0626|1:0.5620|2:0.0625|3:0.0626|4:0.0626|5:0.0626|6:0.0626|7:0.0626
13,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,The graph of a function is shown on the grid. What appears to be the domain of this function?,7,1,0.8904823,0.8059144020080566,0:0.0156|1:0.8905|2:0.0156|3:0.0157|4:0.0156|5:0.0156|6:0.0157|7:0.0157
14,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Throughout which interval is f ( x ) = - x 3 + 2 x 2 + 4 x - 2 increasing?,3,0,0.7811178,1.3726013898849487,0:0.7811|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
15,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which of the following describes the end behavior of h ( x ) = x - 6 x 2 as x approaches negative infinity?,7,1,0.89058423,0.8053200244903564,0:0.0156|1:0.8906|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
16,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Which of the following describes the end behavior of f ( x ) = 9 log ( 2x 5 ) + 5 as x approaches 0?,6,1,0.87494713,0.894780695438385,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
17,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,Given: f(x) = x − 1 g(x) = −2x + 4 Which graph best represents f(g(x))?,5,1,0.8540511,1.0093389749526978,0:0.0208|1:0.8541|2:0.0208|3:0.0208|4:0.0209|5:0.0209|6:0.0209|7:0.0209
18,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,"The test scores of all students on the State 10th Grade English Assessment were collected and displayed in the histogram shown. The data appear normally distributed with a mean test score of 550 and a standard deviation of 82. The principal of a high school in the state wants to compare the data from her school's students with the data in the histogram on the same test. To collect the most appropriate data, the principal should —",36,7,0.97633636,0.22797629237174988,0:0.0034|1:0.0034|2:0.0034|3:0.0034|4:0.0034|5:0.0034|6:0.0034|7:0.9763
19,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,The test scores of all students on the State 10th Grade English Assessment were collected and displayed in the histogram shown. The data appear normally distributed with a mean test score of 550 and a standard deviation of 82. The data set containing the test scores on the State 10th Grade English Assessment for Mr. Carter's English classes has a median test score lower than the median for all students. Which graph best represents the data for Mr. Carter's English classes?,45,7,0.9809657,0.1894199699163437,0:0.0027|1:0.0027|2:0.0027|3:0.0027|4:0.0027|5:0.0027|6:0.0027|7:0.9810
20,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,A normally distributed set of 968 values has a mean of 108 and a standard deviation of 11. Which is closest to the number of values expected to be above 130?,11,0,0.9270432,0.5816775560379028,0:0.9270|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.0104
21,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,This table shows data on the amount of money raised during a fundraiser for four different classes and for one student in each class. The data is normally distributed. Which of the four students raised the greatest amount of money?,22,0,0.96190435,0.3404395580291748,0:0.9619|1:0.0054|2:0.0054|3:0.0054|4:0.0054|5:0.0054|6:0.0054|7:0.0054
22,math_algebra2_practice_2023,math-algebra2-practice-2023.js,multiple-choice,"The amount of lost revenue from tickets not sold for a concert is shown in the table. Which equation best models the relationship between y, the amount of lost revenue, and x, the price per ticket?",18,1,0.95391595,0.3988981246948242,0:0.0066|1:0.9539|2:0.0066|3:0.0066|4:0.0066|5:0.0066|6:0.0066|7:0.0066
1,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Let p represent ""Two angles are vertical angles."" Let q represent ""The angles are congruent."" What is the symbolic representation of the following statement? If two angles are congruent, then the angles are vertical angles.",20,4,0.9582781,0.3672599196434021,0:0.0060|1:0.0060|2:0.0060|3:0.0060|4:0.9583|5:0.0060|6:0.0060|7:0.0060
2,math_geometry_2014,math-geometry-2014.js,multiple-choice,Beth is drawing the perpendicular bisector of S T ¯ . Which point is on the perpendicular bisector of S T ¯ ?,7,0,0.8905764,0.8053655624389648,0:0.8906|1:0.0156|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
3,math_geometry_2014,math-geometry-2014.js,multiple-choice,"In this figure, parallel lines a and b are intersected by line c. Which pair of angles is NOT supplementary?",8,4,0.9026912,0.7335867881774902,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.9027|5:0.0139|6:0.0139|7:0.0139
4,math_geometry_2014,math-geometry-2014.js,multiple-choice,What type of construction is illustrated in the figure?,4,6,0.82481176,1.161252498626709,0:0.0250|1:0.0250|2:0.0251|3:0.0250|4:0.0250|5:0.0250|6:0.8248|7:0.0250
5,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Which value for x is a counterexample to the following statement? For all positive values of x, x 3 ≥ x.",6,7,0.8747994,0.8956099152565002,0:0.0179|1:0.0179|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.8748
6,math_geometry_2014,math-geometry-2014.js,multiple-choice,An angle congruent to angle A is being constructed. Which ray could be drawn to construct an angle congruent to ∠A?,10,5,0.9203936,0.6242741942405701,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.9204|6:0.0114|7:0.0114
7,math_geometry_2014,math-geometry-2014.js,multiple-choice,Which diagram shows a pair of angle measures that prove lines a and b are parallel?,8,0,0.9026286,0.7339637279510498,0:0.9026|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.0139|6:0.0139|7:0.0139
8,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Which is a valid conclusion that can be drawn from these statements? If a quadrilateral is a rhombus, then it is a parallelogram. If a quadrilateral is a parallelogram, then its opposite angles are congruent.",12,4,0.9326574,0.5449822545051575,0:0.0096|1:0.0096|2:0.0096|3:0.0096|4:0.9327|5:0.0096|6:0.0096|7:0.0096
9,math_geometry_2014,math-geometry-2014.js,multiple-choice,"This figure shows parallel stair railings through points M, N, P, and Q. What is the value of x?",7,7,0.890462,0.8060329556465149,0:0.0156|1:0.0157|2:0.0157|3:0.0156|4:0.0157|5:0.0156|6:0.0157|7:0.8905
10,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Given: S(-1, 8) and T(7, -9) What is the length of S T ¯ ?",2,5,0.7079233,1.6913515329360962,0:0.0417|1:0.0418|2:0.0417|3:0.0418|4:0.0418|5:0.7079|6:0.0417|7:0.0417
6,math_geometry_2014,math-geometry-2014.js,multiple-choice,The perimeter of △JKL is 200 centimeters. • JK = 68 centimeters • KL = 62 centimeters Which statement is true about the interior angles of △JKL?,10,5,0.920392,0.6242843866348267,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.9204|6:0.0114|7:0.0114
12,math_geometry_2014,math-geometry-2014.js,multiple-choice,Which best describes the construction in the diagram shown?,5,6,0.8540229,1.0094901323318481,0:0.0208|1:0.0209|2:0.0208|3:0.0209|4:0.0209|5:0.0208|6:0.8540|7:0.0209
13,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Which is the inverse of the following statement? If the measure of an angle is 90°, then it is a right angle.",7,5,0.5558647,1.5641546249389648,0:0.3503|1:0.0157|2:0.0156|3:0.0156|4:0.0156|5:0.5559|6:0.0156|7:0.0157
14,math_geometry_2014,math-geometry-2014.js,multiple-choice,"If TUVW is reflected across the line y = x, what are the coordinates of V′?",5,0,0.85409313,1.0091140270233154,0:0.8541|1:0.0208|2:0.0208|3:0.0208|4:0.0209|5:0.0209|6:0.0208|7:0.0208
15,math_geometry_2014,math-geometry-2014.js,free-response,Lines r and s are cut by a transversal. What value of x proves that r ∥ s?,5,5,0.85404766,1.0093576908111572,0:0.0208|1:0.0209|2:0.0208|3:0.0208|4:0.0209|5:0.8540|6:0.0209|7:0.0208
16,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Given: P(5, 7) and T(-3, 3) What is the slope of P T → ?",2,4,0.70811814,1.6905559301376343,0:0.0417|1:0.0417|2:0.0417|3:0.0417|4:0.7081|5:0.0418|6:0.0417|7:0.0417
17,math_geometry_2014,math-geometry-2014.js,multiple-choice,For which polygon are both x = -1 and y = -2 lines of symmetry?,3,0,0.781054,1.3728973865509033,0:0.7811|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
18,math_geometry_2014,math-geometry-2014.js,multiple-choice,"The figure represents a ramp with handrails. Segments AB and DE are parallel to GH. Segments BC and EF are parallel to HJ. Segments AG and BH are parallel to CJ. If m∠JCB = 115°, what is m∠CBA?",12,6,0.93265855,0.544974684715271,0:0.0096|1:0.0096|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.9327|7:0.0096
19,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Reuben attached a wire between two poles on a hill as shown. Which is closest to x, the distance between the two poles?",11,5,0.9270188,0.5818352699279785,0:0.0104|1:0.0104|2:0.0104|3:0.0104|4:0.0104|5:0.9270|6:0.0104|7:0.0104
20,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Triangles ABE, ADE, and CBE are shown on the coordinate grid, and all the vertices have coordinates that are integers. Which statement is true?",12,1,0.9326517,0.5450199842453003,0:0.0096|1:0.9327|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
21,math_geometry_2014,math-geometry-2014.js,drag-drop,"The lengths of two sides of a triangle are 24 inches and 43 inches. What is the range of possible lengths, in inches, for the third side, x, of this triangle? ___ < x < ___",13,5,0.51102126,1.3822340965270996,0:0.0089|1:0.0089|2:0.0089|3:0.0089|4:0.0089|5:0.5110|6:0.4354|7:0.0089
22,math_geometry_2014,math-geometry-2014.js,multiple-choice,Which of the following sets of lengths can represent the measures of the sides of a right triangle?,8,5,0.58118004,1.498327374458313,0:0.0139|1:0.0139|2:0.0139|3:0.0139|4:0.0139|5:0.5812|6:0.0139|7:0.3354
23,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Given the measures shown in the diagram, which two triangles are congruent?",7,1,0.89038366,0.8064895868301392,0:0.0157|1:0.8904|2:0.0156|3:0.0157|4:0.0157|5:0.0157|6:0.0156|7:0.0157
24,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Part of a marching band formed a triangle made with trumpet players on one side, clarinet players on one side, and flute players on the third side. • The angle formed by the trumpet and flute players measured 45°. • The angle formed by the flute and clarinet players measured 68°. Which orders the sides of this triangle from least to greatest using the instrument names?",38,5,0.9775486,0.21802103519439697,0:0.0032|1:0.0032|2:0.0032|3:0.0032|4:0.0032|5:0.9775|6:0.0032|7:0.0032
25,math_geometry_2014,math-geometry-2014.js,multiple-choice,"An equilateral triangle is folded in half. What is x, the height of the equilateral triangle?",7,1,0.89054894,0.8055259585380554,0:0.0156|1:0.8905|2:0.0156|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
26,math_geometry_2014,math-geometry-2014.js,multiple-choice,Look at this triangle. Which triangle is similar to the given triangle?,6,1,0.8749237,0.89491206407547,0:0.0179|1:0.8749|2:0.0179|3:0.0179|4:0.0179|5:0.0179|6:0.0179|7:0.0179
27,math_geometry_2014,math-geometry-2014.js,drag-drop,Given: Figure ABCD with diagonal AC AB ≅ DC; BC ≅ AD Complete the proof of △ABC ≅ △CDA by selecting reasons for the two statements.,12,5,0.7226692,1.2057634592056274,0:0.0096|1:0.0096|2:0.0096|3:0.0096|4:0.2196|5:0.7227|6:0.0096|7:0.0096
28,math_geometry_2014,math-geometry-2014.js,multiple-choice,A spectator is viewing the six cars of a roller coaster as it travels down a hill at an amusement park. Which is closest to the total length of the six cars?,15,0,0.9452779,0.4597514569759369,0:0.9453|1:0.0078|2:0.0078|3:0.0078|4:0.0078|5:0.0078|6:0.0078|7:0.0078
29,math_geometry_2014,math-geometry-2014.js,multiple-choice,Three triangles that do not overlap are shown on the coordinate grid. The coordinates of all vertices are integers. Which statement is true?,11,1,0.9270177,0.5818426609039307,0:0.0104|1:0.9270|2:0.0104|3:0.0104|4:0.0104|5:0.0104|6:0.0104|7:0.0104
30,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Using the information given, which congruence postulate or theorem can be used to prove that △PQR ≅ △TSR?",10,4,0.9203928,0.6242790222167969,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.9204|5:0.0114|6:0.0114|7:0.0114
31,math_geometry_2014,math-geometry-2014.js,multiple-choice,Which could be the lengths of three sides of a triangle?,5,7,0.8539904,1.0096642971038818,0:0.0209|1:0.0209|2:0.0208|3:0.0208|4:0.0208|5:0.0209|6:0.0209|7:0.8540
32,math_geometry_2014,math-geometry-2014.js,multiple-choice,Given: Q lies on P R ¯ and S lies on R T ¯ Which condition proves △PRT ~ △QRS?,7,3,0.8905622,0.8054487109184265,0:0.0156|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
33,math_geometry_2014,math-geometry-2014.js,free-response,Given: Parallelogram QRST where QR = 6x - 5 and RS = 4x + 13 What value of x proves this parallelogram is a rhombus?,7,4,0.8905105,0.8057503700256348,0:0.0156|1:0.0156|2:0.0156|3:0.0156|4:0.8905|5:0.0157|6:0.0156|7:0.0156
34,math_geometry_2014,math-geometry-2014.js,multiple-choice,The floor plan for a modern home is modeled by the composite of the regular nonagon and triangle shown. What is the measure of ∠JKL?,12,2,0.93262523,0.5451947450637817,0:0.0096|1:0.0096|2:0.9326|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.0096
35,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Given: Circle P with center at (-4, 1) Which equation could represent circle P?",7,3,0.89046454,0.8060179948806763,0:0.0157|1:0.0157|2:0.0156|3:0.8905|4:0.0156|5:0.0157|6:0.0156|7:0.0156
36,math_geometry_2014,math-geometry-2014.js,multiple-choice,This container is composed of a right circular cylinder and a right circular cone. Which is closest to the surface area of the container?,12,7,0.81797415,0.9979801177978516,0:0.1242|1:0.0096|2:0.0096|3:0.0096|4:0.0096|5:0.0096|6:0.0096|7:0.8180
37,math_geometry_2014,math-geometry-2014.js,multiple-choice,Given: Circle J What is the value of y?,3,5,0.78094155,1.3734192848205566,0:0.0313|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.7809|6:0.0313|7:0.0313
38,math_geometry_2014,math-geometry-2014.js,multiple-choice,A cell phone box in the shape of a rectangular prism is shown. The height of the box is 4 cm. The height of the original box will be increased by 3.5 centimeters. Which is closest to the total surface area of the new box?,20,4,0.40600955,1.7538964748382568,0:0.0060|1:0.0060|2:0.0060|3:0.0060|4:0.4060|5:0.0060|6:0.2133|7:0.3509
39,math_geometry_2014,math-geometry-2014.js,multiple-choice,Parallelogram ABCD is a rhombus with m∠EBC = 36°. What is the m∠DAE?,5,2,0.85405743,1.009305477142334,0:0.0208|1:0.0208|2:0.8541|3:0.0208|4:0.0209|5:0.0209|6:0.0208|7:0.0208
40,math_geometry_2014,math-geometry-2014.js,multiple-choice,"Circle O has a center at (-2, -2) and a diameter of 10 units. Which point lies on circle O?",7,3,0.89056003,0.8054611682891846,0:0.0157|1:0.0156|2:0.0156|3:0.8906|4:0.0156|5:0.0156|6:0.0156|7:0.0156
41,math_geometry_2014,math-geometry-2014.js,multiple-choice,An architect used this diagram to design a curved balcony. She drew a circle with a radius of 40 feet and a central angle of 70° to determine the length of railing needed for the balcony. Which is closest to the length of railing needed for the curved section of the balcony?,24,3,0.9649626,0.3174194097518921,0:0.0050|1:0.0050|2:0.0050|3:0.9650|4:0.0050|5:0.0050|6:0.0050|7:0.0050
42,math_geometry_2014,math-geometry-2014.js,multiple-choice,A polygon is shown. What is the measure of ∠U?,3,0,0.7809873,1.3732067346572876,0:0.7810|1:0.0313|2:0.0313|3:0.0313|4:0.0313|5:0.0313|6:0.0313|7:0.0313
43,math_geometry_2014,math-geometry-2014.js,multiple-choice,The volume of a cube is 64 cubic centimeters. What is the surface area of the cube?,7,1,0.8904365,0.8061814904212952,0:0.0156|1:0.8904|2:0.0156|3:0.0156|4:0.0157|5:0.0157|6:0.0156|7:0.0156
44,math_geometry_2014,math-geometry-2014.js,multiple-choice,"The diagonals of rectangle KLMN intersect at the point (2, 1). One of the vertices of rectangle KLMN is located at (-4, 5). Which of the following could be the location of another vertex of this rectangle?",16,5,0.94849557,0.43734461069107056,0:0.0074|1:0.0074|2:0.0074|3:0.0074|4:0.0074|5:0.9485|6:0.0074|7:0.0074
45,math_geometry_2014,math-geometry-2014.js,multiple-choice,Given: Circle P Which is closest to the area of the shaded sector of circle P?,7,1,0.5646378,1.5578972101211548,0:0.0157|1:0.5646|2:0.0156|3:0.3415|4:0.0156|5:0.0157|6:0.0156|7:0.0156
46,math_geometry_2014,math-geometry-2014.js,multiple-choice,The ratio of the lengths of the radii of two spheres is 3:5. What is the ratio of the volumes of these two spheres?,9,5,0.91245085,0.6740175485610962,0:0.0125|1:0.0125|2:0.0125|3:0.0125|4:0.0125|5:0.9125|6:0.0125|7:0.0125
47,math_geometry_2014,math-geometry-2014.js,multiple-choice,This figure is composed of an isosceles trapezoid and a regular octagon. What is the value of x?,7,2,0.89053357,0.8056155443191528,0:0.0156|1:0.0156|2:0.8905|3:0.0156|4:0.0156|5:0.0156|6:0.0156|7:0.0156
48,math_geometry_2014,math-geometry-2014.js,point-select,Plot the center of the circle defined by the equation ( x + 4 ) 2 + ( y - 5 ) 2 = 3 2 .,5,3,0.85398746,1.009680151939392,0:0.0209|1:0.0209|2:0.0209|3:0.8540|4:0.0208|5:0.0209|6:0.0208|7:0.0208
49,math_geometry_2014,math-geometry-2014.js,multiple-choice,A rectangular pyramid is shown. What is the volume of the pyramid?,5,1,0.85403955,1.0094012022018433,0:0.0208|1:0.8540|2:0.0209|3:0.0208|4:0.0209|5:0.0209|6:0.0208|7:0.0208
50,math_geometry_2014,math-geometry-2014.js,multiple-choice,A company is creating a new cylindrical container to replace its original cylindrical container. • The new container will have 4 times the volume of the original container. • The height of the new container will remain the same as the height of the original container. The length of the radius of the new container will be—,26,0,0.967571,0.29747095704078674,0:0.9676|1:0.0046|2:0.0046|3:0.0046|4:0.0046|5:0.0046|6:0.0046|7:0.0046
1,math_geometry_2015,math-geometry-2015.js,multiple-choice,"Which Venn diagram accurately represents the information in the following statement? If a triangle is equilateral, then it is isosceles.",10,6,0.92036456,0.6244584918022156,0:0.0114|1:0.0114|2:0.0114|3:0.0114|4:0.0114|5:0.0114|6:0.9204|7:0.0114
